TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
6351,Magic,10th Edition,Plague Beetle,,168,C,Near Mint,0.08,,1.38,0.07,1,0,0.1,
23442,Magic,8th Edition,Bog Wraith,,120,U,Near Mint,0.11,,1.4,0.09,1,0,0.1,
23569,Magic,8th Edition,Fecundity,,247,U,Near Mint,0.57,,1.87,0.56,1,0,0.56,
23400,Magic,8th Edition,Flash Counter,,78,C,Near Mint,0.15,,1.45,0.14,1,0,0.15,
23405,Magic,8th Edition,Horned Turtle,,83,C,Near Mint,0.14,,1.32,0.01,1,0,0.1,
23417,Magic,8th Edition,Remove Soul,,95,C,Near Mint,0.1,,1.35,0.04,1,0,0.1,
23602,Magic,8th Edition,Spitting Spider,,280,U,Near Mint,0.96,,1.58,0.27,1,0,0.62,
23434,Magic,8th Edition,Unsummon,,112,C,Near Mint,0.18,,1.36,0.05,1,0,0.12,
24627,Magic,9th Edition,Archivist,,60,R,Near Mint,0.37,,1.56,0.25,1,0,0.31,
5068255,Magic,Adventures in the Forgotten Realms,Dancing Sword (Extended Art),,360,R,Near Mint,0.16,,1.36,0.05,1,0,0.11,
5042214,Magic,Adventures in the Forgotten Realms,"Nadaar, Selfless Paladin",,27,R,Near Mint,0.29,,1.52,0.21,1,0,0.25,
5076434,Magic,Adventures in the Forgotten Realms,True Polymorph (Extended Art),,369,R,Near Mint,0.19,0.06,1.39,0.08,1,0,0.14,
3257940,Magic,Aether Revolt,Aethergeode Miner,,4,R,Near Mint,0.18,,1.36,0.05,1,0,0.12,
3258810,Magic,Aether Revolt,Aethersphere Harvester,,142,R,Near Mint,0.17,0.17,1.38,0.07,1,0,0.12,
3258560,Magic,Aether Revolt,Aethertide Whale,,27,R,Near Mint,0.15,,1.32,0.01,1,0,0.1,
3255804,Magic,Aether Revolt,Consulate Crackdown,,11,R,Near Mint,0.16,,1.34,0.03,1,0,0.1,
3258975,Magic,Aether Revolt,Cruel Finality,,54,C,Near Mint Foil,0.39,,1.41,0.1,1,0,0.24,
3259000,Magic,Aether Revolt,Dark Intimations,,128,R,Near Mint,0.22,,1.41,0.1,1,0,0.16,
3259070,Magic,Aether Revolt,Efficient Construction,,33,U,Near Mint,0.29,,1.6,0.29,0,0,0.32,
3259140,Magic,Aether Revolt,Fourth Bridge Prowler,,60,C,Near Mint,0.1,,1.35,0.04,1,0,0.1,
3258580,Magic,Aether Revolt,Gifted Aetherborn,,61,U,Near Mint,0.28,,1.48,0.17,0,0,0.25,
3257850,Magic,Aether Revolt,Gonti's Aether Heart,,152,M,Near Mint,1.98,2.65,2.36,1.05,1,0,1.57,
3257990,Magic,Aether Revolt,Greenbelt Rampager,,107,R,Near Mint,0.26,0.27,1.41,0.1,2,0,0.19,
3259725,Magic,Aether Revolt,Gremlin Infestation,,83,U,Near Mint Foil,0.19,,1.51,0.2,1,0,0.2,
3259220,Magic,Aether Revolt,Illusionist's Stratagem,,36,U,Near Mint,0.29,0.21,1.46,0.15,3,0,0.22,
3259270,Magic,Aether Revolt,Kari Zev's Expertise,,88,R,Near Mint,0.6,0.68,1.72,0.41,1,0,0.51,
3259290,Magic,Aether Revolt,Leave in the Dust,,37,C,Near Mint,0.09,0.02,1.32,0.01,2,0,0.1,
3258440,Magic,Aether Revolt,Merchant's Dockhand,,163,R,Near Mint,0.12,,1.35,0.04,1,0,0.1,
3258630,Magic,Aether Revolt,Metallic Rebuke,,39,C,Near Mint,0.17,,1.46,0.15,0,0,0.16,
3259390,Magic,Aether Revolt,Narnam Renegade,,117,U,Near Mint,0.17,,1.41,0.1,1,0,0.14,
3259410,Magic,Aether Revolt,Negate,,40,C,Near Mint,0.12,0.15,1.41,0.1,9,0,0.11,
3257152,Magic,Aether Revolt,Quicksmith Spy,,41,R,Near Mint,0.09,,1.32,0.01,1,0,0.1,
3258095,Magic,Aether Revolt,Reverse Engineer,,42,U,Near Mint,0.11,,1.34,0.03,4,0,0.1,
3259590,Magic,Aether Revolt,Shielded Aether Thief,,44,U,Near Mint,0.13,0.1,1.36,0.05,2,0,0.1,
3257820,Magic,Aether Revolt,Sram's Expertise,,24,R,Near Mint,0.41,0.44,1.56,0.25,1,0,0.33,
3260049,Magic,Aether Revolt,Tezzeret's Betrayal,,191,R,Near Mint,0.09,,1.32,0.01,1,0,0.1,
3254411,Magic,Aether Revolt,Trophy Mage,,48,U,Near Mint,0.64,0.55,1.8,0.49,0,0,0.57,
3259630,Magic,Aether Revolt,Unbridled Growth,,126,C,Near Mint,0.11,0.1,1.33,0.02,0,0,0.1,
8521792,Magic,Aetherdrift,"Redshift, Rocketeer Chief (Borderless)",,366,R,Near Mint,0.29,0.25,1.46,0.15,1,0,0.22,
8520532,Magic,Aetherdrift,Thunderous Velocipede,,183,M,Near Mint,0.7,0.67,1.71,0.4,0,0,0.55,
8520592,Magic,Aetherdrift,"Vnwxt, Verbose Host",,73,R,Near Mint,0.3,0.24,1.46,0.15,1,0,0.23,
8548739,Magic,Aetherdrift,Waxen Shapethief,,74,R,Near Mint Foil,0.45,0.31,1.55,0.24,1,0,0.35,
262723,Magic,Alara Reborn,Enlisted Wurm,,68,U,Near Mint,0.23,,1.4,0.09,0,0,0.16,
263058,Magic,Alara Reborn,Spellbreaker Behemoth,,60,R,Near Mint Foil,0.87,,2.08,0.77,1,0,0.82,
1181153,Magic,Alliances,Soldevi Adnate (Woman),,26,C,Lightly Played,0.65,0.91,1.71,0.4,0,0,0.53,
3324122,Magic,Amonkhet,Angler Drake,,41,U,Near Mint,0.06,,1.32,0.01,1,0,0.1,
3328416,Magic,Amonkhet,Blazing Volley,,119,C,Near Mint,0.11,,1.39,0.08,1,0,0.11,
3328456,Magic,Amonkhet,Bone Picker,,81,U,Near Mint,0.11,,1.35,0.04,1,0,0.1,
3326576,Magic,Amonkhet,Bounty of the Luxa,,196,R,Near Mint,0.11,0.05,1.36,0.05,2,0,0.1,
3325271,Magic,Amonkhet,Canyon Slough,,239,R,Near Mint,0.34,0.39,1.45,0.14,0,0,0.25,
3325931,Magic,Amonkhet,Cartouche of Strength,,158,C,Near Mint,0.12,0.09,1.36,0.05,1,0,0.1,
3327100,Magic,Amonkhet,Champion of Rhonas,,159,R,Near Mint,0.24,,1.51,0.2,1,0,0.22,
3325672,Magic,Amonkhet,Channeler Initiate,,160,R,Near Mint,0.19,0.19,1.36,0.05,0,0,0.12,
3325673,Magic,Amonkhet,Channeler Initiate,,160,R,Lightly Played,0.13,,1.36,0.05,1,0,0.1,
3326246,Magic,Amonkhet,Curator of Mysteries,,49,R,Near Mint,0.23,,1.43,0.12,0,0,0.18,
