Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
7,Goblin War Buggy,Goblin War Buggy,Urza's Saga,196,USG,Normal,Near Mint,English,Common,6895,20373
2,Giant Cockroach,Giant Cockroach,9th Edition,133,9ED,Normal,Near Mint,English,Common,12664,24722
1,Shock,Shock,Aether Revolt,98,AER,Normal,Near Mint,English,Common,126437,3258670
13,Swat,Swat,Onslaught,174,ONS,Normal,Near Mint,English,Common,10572,22936
2,Giant Growth,Giant Growth,7th Edition,248,7ED,Normal,Near Mint,English,Common,2919,17007
4,Nessian Asp,Nessian Asp,Theros,164,THS,Normal,Near Mint,English,Common,71033,1131738
4,Krark-Clan Stoker,Krark-Clan Stoker,Darksteel,65,DST,Normal,Near Mint,English,Common,11712,23786
1,Goblin Shortcutter,Goblin Shortcutter,Magic 2014 (M14),142,M14,Normal,Near Mint,English,Common,69156,1098314
1,Goblin Shortcutter,Goblin Shortcutter,Jumpstart,330,JMP,Normal,Near Mint,English,Common,216646,4478629
1,Hellraiser Goblin,Hellraiser Goblin,Gatecrash,95,GTC,Normal,Near Mint,English,Uncommon,67410,1067404
1,Goblin Freerunner,Goblin Freerunner,Oath of the Gatewatch,111,OGW,Normal,Near Mint,English,Common,110906,3043397
5,Zada's Commando,Zada's Commando,Oath of the Gatewatch,120,OGW,Normal,Near Mint,English,Common,111096,3044796
1,Stingscourger,Stingscourger,Modern Masters,131,MMA,Normal,Near Mint,English,Common,68392,1092135
1,Lavastep Raider,Lavastep Raider,Jumpstart 2022,568,J22,Normal,Near Mint,English,Common,455566,6761920
1,Lobber Crew,Lobber Crew,Return to Ravnica,99,RTR,Normal,Near Mint,English,Common,66585,1043986
1,Mogg War Marshal,Mogg War Marshal,The List Reprints,EMA-139,LIST,Normal,Near Mint,English,Common,204744,4276250
1,Highland Game,Highland Game,Khans of Tarkir,135,KTK,Normal,Near Mint,English,Common,93252,1258537
1,Kin-Tree Warden,Kin-Tree Warden,Khans of Tarkir,139,KTK,Normal,Near Mint,English,Common,93262,1258637
1,Aether Spellbomb,Aether Spellbomb,Mirrodin,141,MRD,Normal,Near Mint,English,Common,11458,8831
1,Sagu Archer,Sagu Archer,Khans of Tarkir,146,KTK,Normal,Near Mint,English,Common,93308,1259097
1,Humbler of Mortals,Humbler of Mortals,Journey Into Nyx,127,JOU,Normal,Near Mint,English,Common,82316,1183633
2,Fiery Mantle,Fiery Mantle,Urza's Saga,186,USG,Normal,Near Mint,English,Common,6872,20353
1,Shock,Shock,Core Set 2019,156,M19,Normal,Near Mint,English,Common,168475,3760457
